dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky
67,#636363ff,#dc790cff,#ffffffff,#c6c6c6ff,#9c0062ff,#71071eff,#d620e7ff,#ff47ffff,#fffd05ff
68,#646464ff,#ca6a0aff,#ffffffff,#cacacaff,#b60094ff,#67061dff,#c331dcff,#ff51ffff,#fffd05ff
69,#656565ff,#b95b08ff,#ffffffff,#cececeff,#d000c5ff,#f649d1ff,#af41d1ff,#ff5bffff,#fffd05ff
70,#666666ff,#a84c06ff,#ffffffff,#d3d3d3ff,#ffffffff,#ed48d0ff,#9c52c6ff,#ff66ffff,#fffd05ff
71,#676767ff,#b25e37ff,#ffffffff,#d3d3d3ff,#ffffffff,#e346ceff,#af74d1ff,#ff70ffff,#fffd05ff
72,#686868ff,#bd7069ff,#ffffffff,#d3d3d3ff,#ffffffff,#da45ccff,#c396dcff,#ff7affff,#fffd05ff
73,#696969ff,#c7839bff,#ffffffff,#d3d3d3ff,#ffffffff,#d044c9ff,#d6b9e7ff,#ff84ffff,#fffd05ff
74,#6a6a6aff,#d295cdff,#ffffffff,#d3d3d3ff,#ffffffff,#c742c5ff,#eadbf2ff,#ff8effff,#fffd05ff
75,#6b6b6bff,#dda8ffff,#00ff00ff,#d3d3d3ff,#ffffffff,#ba40bdff,#fefefeff,#ff99ffff,#fffd05ff
76,#6c6c6cff,#e3b9ffff,#00ff00ff,#d3d3d3ff,#ffffffff,#ac3eb4ff,#fefefeff,#ff9cffff,#fffd05ff
77,#6d6d6dff,#eacaffff,#00ff00ff,#d3d3d3ff,#ffffffff,#9e3caaff,#fefefeff,#ff9fffff,#fffd05ff
78,#6e6e6eff,#f1dcffff,#00ff00ff,#d3d3d3ff,#ffffffff,#923aa1ff,#fefefeff,#ffa3ffff,#fffd05ff
79,#6f6f6fff,#f8edffff,#00ff00ff,#d3d3d3ff,#ffffffff,#853897ff,#fefefeff,#ffa6ffff,#fffd05ff
80,#707070ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#7a358eff,#ffffffff,#ffaaffff,#fffd05ff
81,#717171ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#6f3384ff,#ffffffff,#ffaaffff,#fffd05ff
82,#727272ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#64307bff,#ffffffff,#ffaaffff,#fffd05ff
83,#737373ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#5a2d71ff,#ffffffff,#ffaaffff,#fffd05ff
84,#747474ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#502a68ff,#ffffffff,#ffaaffff,#fffd05ff
85,#757575ff,#ffffffff,#00ff00ff,#d3d3d3ff,#ffffffff,#502a68ff,#ffffffff,#ffaaffff,#fffd05ff
